inikn,ini kan
kmi,kami
cma,cuma
ksi,kasih
pass,pas
pepet,mendesak
ribethhhh,rumit
keterangannua,keterangan
vermuknya,verifikasi wajah
wajahhh,wajah
customerny,pelanggan
ngilang,hilang
kedpn,kedepan
ruet,rumit
type,tipe
install,instal
ngerti,mengerti
jga,juga
jagi,jadi
permintaanwaktuhabis,permintaan waktu habis
ribetnya,rumit
trdapat,terdapat
scren,screen
kcwa,kecewa
ninggalin,meninggalkan
moga,semoga
alhamdulilah,alhamdulillah
tabungam,tabungan
dalamx,dalam
repot,sulit
fiturperbankan,fitur bank
fiturnya,fitur
wifinya,wifi
aktivasinya,aktivasi
loadingnya,loading
gunain,guna
bn,bni
kompetebel,kompatibel
alloh,allah
bangking,bank
mbangking,bank
sceenshoot,screenshot
accounta,account
divice,device
mhn,mohon
cpt,cepat
bsinya,bsi
luarbiasa,luar biasa
bartransaksi,bertransaksi
ngajuin,mengajukan
lanjur,terlanjur
notive,pemberitahuan
ngambil,ambil
baget,sekali
diinstal,instal
dpersyulid,persulit
please,tolong

manu,menu
ngegame,game
updte,update
pantes,pantas
dsini,sini
banar,benar
prasaan,perasaan
adakan,ada
adain,ada
akn,akan
aktifasinya,aktivasi
aktifin,aktif
aktifinnya,aktif
aktivasinya,aktivasi
alhasil,hasil
aplikasiii,aplikasi
aplikasnya,aplikasi
aps,aplikasi
baget,sekali
bahwasannya,bahwa
aktifin,aktif
aktifinnya,aktif
aktivasinya,aktivasi
alhasil,hasil
aplikasiii,aplikasi
aplikasnya,aplikasi
aps,aplikasi
baget,sekali
bangeet,sekali
banggan,bangga
bankbsi,bank bsi
bengking,bank
betulllll,betul
bgi,bagi
bhs,bahasa
br,baru
brisyariah,bri syariah
cepett,cepat
bahwasannya,bahwa
belu,belum
penarikan,tarik
makasiii,terima kasih
ketikan,ketik
youtubenya,youtube
wort,worth
wassalamu,wassalam
waswas,was was
walletnya,wallet
wajanya,wajah
wabarakaatuh,wabarakatuh
wa,whatsapp
verification,verifikasi
verikasi,verifikasi
vertivikasi,verifikasi
verikasi,verifikasi
videocall, video call
vc,video call
vcall,video call
va,virtual account
uverlapping,overlapping
usernya,user
urusin,urus
urgent,mendesak
updte,update
updatenya,update
updated,update
updatean,update
uninstal,uninstal
unistal,uninstal
unistall,uninstal
ui,user interface
ux,user experience
uangelll,susah
tulisanya,tulis
truss,terus
trouble,masalah
trnyata,ternyata
travelling,travel
traveling,travel
trf,transfer
transkasi,transaksi
transaction,transaksi
tran,transaksi
topup,top up
tombolnyaa,tombol
tingkatin,tingkat
tindaklanjuti,tindak lanjut
timeout,time out
tida,tidak
terupdate,update
terinstal,instal
terimaksih,terima kasih
teraktifasi,aktivasi
tellernya,teller
teler,teller
telephone,telepon
tehambat,terhambat
tari,tarik
tapu,tapi
tansfer,transfer
tanggapin,tanggap
tanggapanya,tanggap
tampilanya,tampil
tambahin,tambah
syar,syariah
sudh,sudah
suarany,suara
steleh,setelah
sreenshoot,screenshot
sndri,sendiri
smua,semua
smsnya,sms
smp,sampai
smkin,semakin
sholat,salat
shalat,salat
settingan,setting
servicenya,service
